TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Velocidade_de_tração
8.100,3507,0.0,0.00,0.451,OFF,0.0
8.140,3507,0.0,0.00,0.503,OFF,0.0
8.180,3507,0.0,0.00,0.510,OFF,0.0
8.220,3507,0.0,0.00,0.515,OFF,0.0
8.260,3507,0.0,0.00,0.549,OFF,0.0
8.300,3507,0.0,0.00,0.550,OFF,0.0
8.340,3507,0.0,0.00,0.556,OFF,0.0
8.380,3507,0.0,0.00,0.599,OFF,0.0
8.420,3507,0.0,0.00,0.602,OFF,0.0
8.460,3507,0.0,0.00,0.653,OFF,0.0
8.500,3507,0.0,0.00,0.660,OFF,0.0
8.540,3507,0.0,0.00,0.662,OFF,0.0
8.580,3507,0.0,0.00,0.713,OFF,0.0
8.620,3507,0.0,0.00,0.720,OFF,0.0
8.660,3507,0.0,0.00,0.722,OFF,0.0
8.700,3507,0.0,0.00,0.773,OFF,0.0
8.740,3507,0.0,0.00,0.781,OFF,0.0
8.780,3507,0.0,0.00,0.833,OFF,0.0
8.820,3507,0.0,0.00,0.840,OFF,0.0
8.860,3507,0.0,0.00,0.841,OFF,0.0
8.900,3507,0.0,0.00,0.866,OFF,0.0
8.940,3507,0.0,0.00,0.870,OFF,0.0
8.980,3507,0.0,0.00,0.877,OFF,0.0
9.020,3507,0.0,0.00,0.928,OFF,0.0
9.060,3507,0.0,0.00,0.930,OFF,0.0
9.100,3507,0.0,0.00,0.932,OFF,0.0
9.140,3507,0.0,0.00,0.949,OFF,0.0
9.180,3507,0.0,0.00,0.950,OFF,0.0
9.220,3507,0.0,0.00,0.950,OFF,0.0
9.260,3507,0.0,0.00,0.950,OFF,0.0
9.300,3507,0.0,0.00,0.949,OFF,0.0
9.340,3507,0.0,0.00,0.924,OFF,0.0
9.380,3507,0.0,0.00,0.920,OFF,0.0
9.420,3507,0.0,0.00,0.919,OFF,0.0
9.460,3507,0.0,0.00,0.885,OFF,0.0
9.500,3507,0.0,0.00,0.880,OFF,0.0
9.540,3507,0.0,0.00,0.879,OFF,0.0
9.580,3507,0.0,0.00,0.845,OFF,0.0
9.620,3507,0.0,0.00,0.840,OFF,0.0
9.660,3507,0.0,0.00,0.835,OFF,0.0
9.700,3507,0.0,0.00,0.801,OFF,0.0
9.740,3507,0.0,0.00,0.800,OFF,0.0
9.780,3507,0.0,0.00,0.800,OFF,0.0
9.820,3507,0.0,0.00,0.800,OFF,0.0
9.860,3507,0.0,0.00,0.799,OFF,0.0
9.900,3507,0.0,0.00,0.756,OFF,0.0
9.940,3507,0.0,0.00,0.750,OFF,0.0
9.980,3507,0.0,0.00,0.748,OFF,0.0
10.020,3507,0.0,0.00,0.731,OFF,0.0
10.060,3507,0.0,0.00,0.730,OFF,0.0
10.100,3507,0.0,0.00,0.725,OFF,0.0
10.140,3507,0.0,0.00,0.691,OFF,0.0
10.180,3507,0.0,0.00,0.689,OFF,0.0
10.220,3507,0.0,0.00,0.664,OFF,0.0
10.260,3507,0.0,0.00,0.660,OFF,0.0
10.300,3507,0.0,0.00,0.656,OFF,0.0
10.340,3507,0.0,0.00,0.631,OFF,0.0
10.380,3507,0.0,0.00,0.630,OFF,0.0
10.420,3507,0.0,0.00,0.629,OFF,0.0
10.460,3507,0.0,0.00,0.620,OFF,0.0
10.500,3507,0.0,0.00,0.619,OFF,0.0
10.540,3507,0.0,0.00,0.594,OFF,0.0
10.580,3507,0.0,0.00,0.590,OFF,0.0
10.620,3507,0.0,0.00,0.589,OFF,0.0
10.660,3507,0.0,0.00,0.564,OFF,0.0
10.700,3507,0.0,0.00,0.560,OFF,0.0
10.740,3507,0.0,0.00,0.560,OFF,0.0
10.780,3507,0.0,0.00,0.560,OFF,0.0
10.820,3507,0.0,0.00,0.560,OFF,0.0
10.860,3507,0.0,0.00,0.560,OFF,0.0
10.900,3507,0.0,0.00,0.560,OFF,0.0
10.940,3507,0.0,0.00,0.559,OFF,0.0
10.980,3507,0.0,0.00,0.542,OFF,0.0
11.020,3507,0.0,0.00,0.540,OFF,0.0
11.060,3507,0.0,0.00,0.539,OFF,0.0
11.100,3507,0.0,0.00,0.530,OFF,0.0
11.140,3507,0.0,0.00,0.530,OFF,0.0
11.180,3507,0.0,0.00,0.530,OFF,0.0
11.220,3507,0.0,0.00,0.530,OFF,0.0
11.260,3507,0.0,0.00,0.529,OFF,0.0
11.300,3507,0.0,0.00,0.504,OFF,0.0
11.340,3507,0.0,0.00,0.500,OFF,0.0
11.380,3507,0.0,0.00,0.500,OFF,0.0
11.420,3507,0.0,0.00,0.500,OFF,0.0
11.460,3507,0.0,0.00,0.500,OFF,0.0
11.500,3507,0.0,0.00,0.498,OFF,0.0
11.540,3507,0.0,0.00,0.481,OFF,0.0
11.580,3507,0.0,0.00,0.480,OFF,0.0
11.620,3507,0.0,0.00,0.480,OFF,0.0
11.660,3507,0.0,0.00,0.480,OFF,0.0
11.700,3507,0.0,0.00,0.475,OFF,0.0
11.740,3507,0.0,0.00,0.441,OFF,0.0
11.780,3507,0.0,0.00,0.440,OFF,0.0
11.820,3507,0.0,0.00,0.440,OFF,0.0
11.860,3507,0.0,0.00,0.440,OFF,0.0
11.900,3507,0.0,0.00,0.440,OFF,0.0
11.940,3507,0.0,0.00,0.440,OFF,0.0
11.980,3507,0.0,0.00,0.440,OFF,0.0
12.020,3507,0.0,0.00,0.440,OFF,0.0
12.060,3507,0.0,0.00,0.440,OFF,0.0
12.100,3507,0.0,0.00,0.440,OFF,0.0
12.140,3507,0.0,0.00,0.440,OFF,0.0
12.180,3507,0.0,0.00,0.440,OFF,0.0
12.220,3507,0.0,0.00,0.440,OFF,0.0
12.260,3507,0.0,0.00,0.440,OFF,0.0
12.300,3507,0.0,0.00,0.440,OFF,0.0
12.340,3507,0.0,0.00,0.440,OFF,0.0
12.380,3507,0.0,0.00,0.440,OFF,0.0
12.420,3507,0.0,0.00,0.440,OFF,0.0
12.460,3507,0.0,0.00,0.440,OFF,0.0
12.500,3507,0.0,0.00,0.440,OFF,0.0
12.540,3507,0.0,0.00,0.440,OFF,0.0
12.580,3507,0.0,0.00,0.440,OFF,0.0
12.620,3507,0.0,0.00,0.440,OFF,0.0
12.660,3507,0.0,0.00,0.440,OFF,0.0
12.700,3507,0.0,0.00,0.440,OFF,0.0
12.740,3507,0.0,0.00,0.440,OFF,0.0
12.780,3507,0.0,0.00,0.440,OFF,0.0
12.820,3507,0.0,0.00,0.440,OFF,0.0
12.860,3507,0.0,0.00,0.440,OFF,0.0
12.900,3507,0.0,0.00,0.440,OFF,0.0
