TIME,RPM,TPS,MAP,Sonda_Geral,2-step
8.620,5664,0.0,0.00,0.200,OFF
8.660,5688,0.0,0.00,0.200,OFF
8.700,5853,0.0,0.00,0.200,OFF
8.740,5876,0.0,0.00,0.200,OFF
8.780,6434,0.0,0.00,0.200,OFF
8.820,6510,0.0,0.00,0.200,OFF
8.860,6541,0.0,0.00,0.200,OFF
8.900,6737,0.0,0.00,0.200,OFF
8.940,6746,0.0,0.00,0.200,OFF
8.980,6781,0.0,0.00,0.200,OFF
9.020,7043,0.0,0.00,0.200,OFF
9.060,7051,0.0,0.00,0.200,OFF
9.100,7052,0.0,0.00,0.200,OFF
9.140,7052,0.0,0.00,0.200,OFF
9.180,7056,0.0,0.00,0.200,OFF
9.220,7187,0.0,0.00,0.200,OFF
9.260,7205,0.0,0.00,0.200,OFF
9.300,7215,0.0,0.00,0.200,OFF
9.340,7477,0.0,0.00,0.200,OFF
9.380,7512,0.0,0.00,0.200,OFF
9.420,7514,0.0,0.00,0.200,OFF
9.460,7514,0.0,0.00,0.200,OFF
9.500,7509,0.0,0.00,0.200,OFF
9.540,7378,0.0,0.00,0.200,OFF
9.580,7358,0.0,0.00,0.200,OFF
9.620,7303,0.0,0.00,0.200,OFF
9.660,5632,0.0,0.00,0.200,OFF
9.700,5401,0.0,0.00,0.200,OFF
9.740,5256,0.0,0.00,0.200,OFF
9.780,4272,0.0,0.00,0.200,OFF
9.820,4235,0.0,0.00,0.200,OFF
9.860,4132,0.0,0.00,0.200,OFF
9.900,3379,0.0,0.00,0.200,OFF
9.940,3352,0.0,0.00,0.200,OFF
9.980,3285,0.0,0.00,0.200,OFF
10.020,3275,0.0,0.00,0.200,OFF
10.060,3257,0.0,0.00,0.200,OFF
10.100,3126,0.0,0.00,0.200,OFF
10.140,3121,0.0,0.00,0.200,OFF
10.180,3121,0.0,0.00,0.200,OFF
10.220,3121,0.0,0.00,0.200,OFF
10.260,3121,0.0,0.00,0.200,OFF
10.300,3116,0.0,0.00,0.200,OFF
